,Team1,Team1odd,MatchDraw,Team2,Team2Odd
0,Rosenborg BK,1.48,4.10,Odds BK,5.75
1,Ovrevoll Hosle,1.37,5.00,Nanset,6.00
2,NK Istra 1961,1.97,3.30,Vsnk Varazdin,3.75
3,Byasen,1.21,6.50,FK Fortuna Alesund,9.25
4,Molde,20.00,13.50,Lyn,1.04
5,IS Halmia,2.60,3.55,Eskilsminne IF,2.35
6,Valur Reykjavik,1.33,5.00,IBV Vestmannaeyjar,7.00
7,Malawi,2.95,2.60,Botswana (n),2.65
8,Brinkumer SV,9.75,6.50,VfL Oldenburg,1.21
9,FC Teutonia 05,11.00,6.00,Holstein Kiel II,1.22
10,Fjolnir Reykjavik,1.17,6.25,Thor Akureyri,12.50
11,Lillestrom SK,3.05,3.25,SK Brann,2.22
12,CA River Plate,2.21,3.25,Boston River,3.15
13,Danubio FC,1.75,3.70,Rampla Juniors,4.15
14,Deportivo Binacional,1.87,3.60,Comerciantes Unidos,3.70
15,IBV Vestmannaeyjar,3.85,4.05,Valur Reykjavik,1.69
16,B36 Torshavn,1.23,5.75,Tb/Fc Suduroy/Royn,9.00
17,Aluminij Kidricevo,12.50,6.00,NK Olimpija Ljubljana (n),1.18
18,Manchester 62 FC,20.50,11.00,Europa FC,1.04
19,Stirling University,4.45,4.30,Forfar Farmington Lfc,1.56
