,Team1,Team1odd,MatchDraw,Team2,Team2Odd
0, T665 Smouha,8.45 ,4.15 ,El Raja Matrouh,1.35 
1, A555 Flamurtari Vlore,2.13 ,2.91 ,Skender Kor,3.74 
2,dina dAlger,6.07 ,3.70 ,JS Saoura,1.50 
3, E841 Ohud Medina,2.83 ,3.25 ,Al Ittifaq,2.28 
4, F842 Olaine,1.55 ,3.79 ,FS Metta Lu,5.20 
5, K485 Slavia Prague,5.68 ,4.47 ,Stjarnan,1.43 
6, D466 Sfaxien,12.27 ,4.90 ,Co Mednine,1.23 
7, T615 El-Entag El-Harby,1.38 ,4.03 ,Al Ahly Cairo,7.80 
8, R336 Benfica Yth,16.13 ,7.54 ,Real Sport Clube,1.10 
9, U251 AfriSports National,3.24 ,2.66 ,AF Amadou Diallo,2.41 
10, G895 Man City Ladies,38.06 ,9.77 ,Lillestrom Kvinner,1.03 
11, E496 Pau,3.06 ,2.99 ,Sannois Saint-Gratien,2.28 
12, Y183 Gibraltar Phoenix,3.27 ,3.89 ,Manchester 62,1.93 
13, K516 Billericay ,9.65 ,5.62 ,LeatherheFC,1.27 
14, M263 Danubio,1.65 ,3.69 ,Penarol,4.48 
15, P175 Rampla Jnr.s,2.90 ,3.19 ,Boston River,2.27 
16,orting,12.19 ,5.81 ,Famalicao,1.20 
17, T867 CD Audaz,2.74 ,3.43 ,Aguila,2.26 
18, K398 Botafogo RJ,6.34 ,4.00 ,Atletico Goianiense,1.49 
19, G432 Chapecoense,3.02 ,3.24 ,Vitoria BA,2.27 
