,Team1,Team1odd,MatchDraw,Team2,Team2Odd
0,Tanta FC,0,0,Ismaily SC,0
1,ES Metlaoui,0,0,Esperance Tunis,0
2,Al Qadisiyah,2.00,3.15,Al Baten,3.50
3,Arsenal FC,2.35,3.55,Tottenham Hotspur,2.85
4,Burnley FC,2.10,3.10,Swansea City,3.85
5,Crystal Palace,2.40,3.15,Everton FC,3.05
6,Leicester City,7.80,5.50,Manchester City,1.35
7,Liverpool FC,1.40,4.80,Southampton FC,7.00
8,AFC Bournemouth,1.80,3.45,Huddersfield Town,4.60
9,West Bromwich Albion,5.80,3.85,Chelsea FC,1.60
10,Manchester United,1.30,5.30,Newcastle United,11.25
11,Watford FC,2.05,3.45,West Ham United,3.55
12,Brighton & Hove Albion FC,2.35,3.05,Stoke City,3.20
13,West Ham United,2.45,3.35,Leicester City,2.85
14,Crystal Palace,2.15,3.25,Stoke City,3.55
15,Manchester United,1.20,6.30,Brighton & Hove Albion FC,16
16,Newcastle United,2.10,3.30,Watford FC,3.50
17,Tottenham Hotspur,1.30,5.50,West Bromwich Albion,10.50
