,Team1odd,Team1,MatchDraw,Team2,Team2Odd
0,1.45,Malmo,4.51,Kalmar,7.24
1,1.52,Nice,4.17,Troyes,6.77
2,6.17,Karlsruher SC,4.51,Bayer Leverkusen,1.50
3,1.55,Arsenal,4.32,Leicester,5.87
4,9.69,Partick Thisle,5.38,Celtic,1.31
5,3.62,Rennes,3.51,Lyon,2.05
6,5.43,Watford,4.02,Liverpool,1.63
7,19.04,Chemnitz,9.12,Bayern Munchen,1.04
8,29.05,1. FC Rielasingen-Arlen,10.49,Borussia Dortmund,1.01
9,1.73,Everton,3.61,Stoke City,5.23
10,1.66,Southampton,3.75,Swansea,5.62
11,1.30,Chelsea,5.40,Burnley,11.07
12,8.27,Brighton,4.86,Manchester City,1.39
13,6.78,Heracles,4.56,Ajax,1.46
14,4.83,Newcastle,3.87,Tottenham,1.72
