,M.Draw,Team1,Team1odd,T2,T2 Odd
0, 3.86,Shimizu S-Pulse ,4.04, Urawa Red Diamonds , 1.84 
1, 3.42,Avispa Fukuoka ,1.87, Mito Hollyhock , 4.49 
2, 4.14,Bohemians 1905 ,2.53, FK Teplice , 2.31 
3, 3.81,Ventforet Kofu ,6.3, Kawasaki Frontale , 1.59 
4, 5.06,1 FC Slovacko ,1.49, FC Zbrojovka Brno , 4.96 
5, 3.06,Luch-Energia Vladivostok ,3.62, FK Tambov , 2.01 
6, 3.08,AD Union Adarve ,2.87, Atletico Madrid B , 2.34 
7, 3.12,UD Melilla ,1.79, CF Jumilla , 4.51 
8, 3.23,CA Osasuna B ,2.08, SD Amorebieta , 3.24 
9, 3.15,Asan Mugunghwa FC ,3.54, Busan I Park , 2.0 
10, 3.28,Ehime FC ,3.21, Tokyo Verdy , 2.31 
11, 3.24,Daejeon Citizen FC ,3.44, Seongnam FC , 2.0 
12, 3.25,RC Deportivo Fabril ,2.16, UD San Sebastian Reyes , 3.03 
13, 3.04,CF Rayo Majadahonda ,2.34, Real Valladolid B , 2.91 
14, 3.15,CD Ebro ,1.92, Ontinyent CF , 3.83 
15, 3.14,Roasso Kumamoto ,3.47, Fagiano Okayama , 2.26 
16, 3.05,V-Varen Nagasaki ,2.72, Kyoto Sanga FC , 2.82 
17, 3.28,Suwon FC ,1.89, FC Anyang , 3.75 
18, 3.06,CD Lealtad ,2.51, Burgos CF , 2.66 
19, 3.35,Academico De Viseu FC ,2.16, SL Benfica B , 3.24 
20, 6.55,Feyenoord Rotterdam ,1.21, Willem II Tilburg , 13.52 
21, 3.24,Veles Moscow ,2.87, Chertanovo , 2.26 
22, 4.38,FC Midtjylland ,1.51, Lyngby BK , 5.51 
23, 3.76,Dalian Transcendence FC ,1.82, Baoding Rongda , 3.94 
24, 4.5,Persija Jakarta ,1.29, Persela Lamongan , 9.52 
25, 3.41,Dundee FC ,3.73, Hibernian FC , 1.96 
26, 3.72,1. FC Union Berlin ,1.73, Arminia Bielefeld , 4.44 
27, 3.15,SV Sandhausen ,2.44, Fortuna Dusseldorf , 2.92 
28, 3.75,VfL Bochum ,1.75, Dynamo Dresden , 4.3 
29, 5.0,Beijing Renhe ,1.35, Qingdao Huanghaizhiyao , 7.91 
30, 3.53,Hangzhou Greentown FC ,1.89, Beijing Konggu , 3.89 
31, 3.86,Esbjerg ,1.74, Nykobing FC , 4.25 
32, 3.45,Brabrand IF ,3.01, Thisted FC , 2.23 
33, 3.85,HB Koge ,1.59, Skive IK , 5.48 
34, 3.56,FC Fredericia ,1.84, Fremad Amager , 4.1 
35, 3.8,Vejle BK ,1.81, FC Roskilde , 3.95 
36, 3.06,FSV Zwickau ,3.03, FC Wurzburger Kickers , 2.42 
37, 3.11,FC Tom Tomsk ,2.23, FK Tyumen , 3.03 
38, 3.81,SKA Rostov ,1.49, Legion-Dynamo Makhachkala , 5.94 
39, 3.71,West Ham United Amateur,2.01, Swansea City Amateur, 3.31 
40, 2.38,Bandari FC ,1.81, Mathare United FC , 3.05 
41, 2.98,FK Khimki ,2.33, Dinamo Saint Petersburg , 2.98 
42, 3.1,Hansa Rostock ,2.5, SC Preussen Munster , 2.87 
43, 3.43,Saturn Ramenskoye ,1.69, Sokol Saratov , 4.61 
44, 4.04,Police Tero FC ,1.7, Chainat FC , 3.77 
45, 2.94,GOR Mahia FC ,1.28, AFC Leopards SC , 5.66 
46, 3.27,West Bromwich Albion ,2.47, Stoke City , 3.23 
47, 3.65,Club Brugge ,1.81, Standard Liege , 4.11 
48, 4.5,Chelsea FC ,1.53, Everton FC , 7.0 
49, 4.88,VVV Venlo ,6.41, Ajax Amsterdam , 1.45 
50, 3.41,CA Juventus ,2.87, AA Portuguesa De Desportos SP , 2.34 
51, 3.24,FK Panevezys ,2.53, Vytis Vilnius , 2.53 
52, 3.53,IFK Norrkoeping ,2.09, Ostersunds FK , 3.46 
53, 4.1,BK Haecken ,1.58, Jonkopings Sodra , 5.79 
54, 2.98,FC Olimpiets ,2.98, FC Orenburg , 2.33 
55, 3.03,FC Banants Yerevan ,2.86, FC Gandzasar Kapan , 2.38 
56, 3.73,Mirassol SP ,1.66, Atletico Penapolense SP , 5.0 
57, 3.45,Portuguesa Santista SP ,3.67, Nacional SP , 1.97 
58, 3.29,Nosta Novotroitsk ,2.36, FK Syzran-2003 , 2.69 
59, 3.32,AIK ,2.26, Djurgardens IF , 3.25 
